config,N,M,eer_mean,eer_std
A2_arcface,10,5,0.0,0.0
A2_arcface,10,10,0.0,0.0
A3_softmax,1,1,0.007878787878787874,0.007569694543513203
A3_softmax,1,3,0.005454545454545452,0.010909090909090906
A3_softmax,1,5,0.005151515151515148,0.010303030303030297
A3_softmax,1,10,0.00030303030303030303,0.0006060606060606061
A3_softmax,3,1,0.006666666666666661,0.006949906024957396
A3_softmax,3,3,0.00030303030303030303,0.0006060606060606061
A3_softmax,3,5,0.00030303030303030303,0.0006060606060606061
A3_softmax,3,10,0.0,0.0
A3_softmax,5,1,0.007272727272727268,0.007749522334875401
A3_softmax,5,3,0.00030303030303030303,0.0006060606060606061
A3_softmax,5,5,0.00030303030303030303,0.0006060606060606061
A3_softmax,5,10,0.00030303030303030303,0.0006060606060606061
A3_softmax,10,1,0.006666666666666661,0.006949906024957396
A3_softmax,10,3,0.00030303030303030303,0.0006060606060606061
A3_softmax,10,5,0.00030303030303030303,0.0006060606060606061
A3_softmax,10,10,0.00030303030303030303,0.0006060606060606061
A3_arcface,1,1,0.007575757575757571,0.007484296384986944
A3_arcface,1,3,0.0,0.0
A3_arcface,1,5,0.0,0.0
A3_arcface,1,10,0.0,0.0
A3_arcface,3,1,0.006666666666666661,0.008164965809277254
A3_arcface,3,3,0.0,0.0
A3_arcface,3,5,0.0,0.0
A3_arcface,3,10,0.0,0.0
A3_arcface,5,1,0.006666666666666661,0.008164965809277254
A3_arcface,5,3,0.0,0.0
A3_arcface,5,5,0.0,0.0
A3_arcface,5,10,0.0,0.0
A3_arcface,10,1,0.006666666666666661,0.008164965809277254
A3_arcface,10,3,0.0,0.0
A3_arcface,10,5,0.0,0.0
A3_arcface,10,10,0.0,0.0
A4_softmax,1,1,0.02999999999999998,0.01578668639712861
A4_softmax,1,3,0.016060606060606053,0.012516288744280832
A4_softmax,1,5,0.015151515151515143,0.01200703803403572
A4_softmax,1,10,0.003333333333333333,0.00473348465206464
A4_softmax,3,1,0.02242424242424241,0.0063129292896968656
A4_softmax,3,3,0.012424242424242418,0.011790955429299218
A4_softmax,3,5,0.019696969696969692,0.02166189818262001
A4_softmax,3,10,0.007575757575757573,0.01368677550380147
A4_softmax,5,1,0.0215151515151515,0.005538080873483958
A4_softmax,5,3,0.01272727272727272,0.011076161746967912
A4_softmax,5,5,0.01333333333333333,0.013291946787552304
A4_softmax,5,10,0.009393939393939389,0.018039849777136012
A4_softmax,10,1,0.022727272727272714,0.006569540420811758
A4_softmax,10,3,0.011212121212121206,0.009121161783813577
A4_softmax,10,5,0.013030303030303026,0.012442706162210788
A4_softmax,10,10,0.006363636363636361,0.011984072686839502
A4_arcface,1,1,0.016969696969696954,0.0006060606060606058
A4_arcface,1,3,0.006666666666666664,0.009800582805331042
A4_arcface,1,5,0.002121212121212121,0.00205525151003796
A4_arcface,1,10,0.0006060606060606061,0.0012121212121212121
A4_arcface,3,1,0.01727272727272726,0.0007422696190252052
A4_arcface,3,3,0.002424242424242424,0.0024618298195866546
A4_arcface,3,5,0.0018181818181818182,0.0022268088570756165
A4_arcface,3,10,0.0006060606060606061,0.0012121212121212121
